Gene stable ID	Gene stable ID version	Gene name	Human gene stable ID	Human gene name	Human protein or transcript stable ID	Human orthology confidence [0 low, 1 high]	Human homology type
ENSMUSG00000064341	ENSMUSG00000064341.1	mt-Nd1	ENSG00000198888	MT-ND1	ENSP00000354687	1	ortholog_one2one
ENSMUSG00000064345	ENSMUSG00000064345.1	mt-Nd2	ENSG00000198763	MT-ND2	ENSP00000355046	1	ortholog_one2one
ENSMUSG00000064351	ENSMUSG00000064351.1	mt-Co1	ENSG00000198804	MT-CO1	ENSP00000354499	1	ortholog_one2one
ENSMUSG00000064354	ENSMUSG00000064354.1	mt-Co2	ENSG00000198712	MT-CO2	ENSP00000354876	1	ortholog_one2one
ENSMUSG00000064357	ENSMUSG00000064357.1	mt-Atp6	ENSG00000198899	MT-ATP6	ENSP00000354632	1	ortholog_one2one
ENSMUSG00000064358	ENSMUSG00000064358.1	mt-Co3	ENSG00000198938	MT-CO3	ENSP00000354982	1	ortholog_one2one
ENSMUSG00000064360	ENSMUSG00000064360.1	mt-Nd3	ENSG00000198840	MT-ND3	ENSP00000355206	1	ortholog_one2one
ENSMUSG00000065947	ENSMUSG00000065947.1	mt-Nd4l	ENSG00000212907	MT-ND4L	ENSP00000354728	1	ortholog_one2one
ENSMUSG00000064363	ENSMUSG00000064363.1	mt-Nd4	ENSG00000198886	MT-ND4	ENSP00000354961	1	ortholog_one2one
ENSMUSG00000064367	ENSMUSG00000064367.1	mt-Nd5	ENSG00000198786	MT-ND5	ENSP00000354813	1	ortholog_one2one
ENSMUSG00000064368	ENSMUSG00000064368.1	mt-Nd6	ENSG00000198695	MT-ND6	ENSP00000354665	1	ortholog_one2one
ENSMUSG00000064370	ENSMUSG00000064370.1	mt-Cytb	ENSG00000198727	MT-CYB	ENSP00000354554	1	ortholog_one2one
ENSMUSG00000056673	ENSMUSG00000056673.15	Kdm5d	ENSG00000012817	KDM5D	ENSP00000322408	1	ortholog_one2one
ENSMUSG00000069045	ENSMUSG00000069045.12	Ddx3y	ENSG00000067048	DDX3Y	ENSP00000336725	1	ortholog_one2one
ENSMUSG00000069044	ENSMUSG00000069044.7	Usp9y	ENSG00000114374	USP9Y	ENSP00000342812	1	ortholog_one2one
ENSMUSG00000047161	ENSMUSG00000047161.13	Chst9	ENSG00000154080	CHST9	ENSP00000480991	1	ortholog_one2one
ENSMUSG00000024304	ENSMUSG00000024304.15	Cdh2	ENSG00000170558	CDH2	ENSP00000269141	1	ortholog_one2one
ENSMUSG00000048799	ENSMUSG00000048799.9	Cep120	ENSG00000168944	CEP120	ENSP00000303058	1	ortholog_one2one
ENSMUSG00000073563	ENSMUSG00000073563.4	Csnk1g3	ENSG00000151292	CSNK1G3	ENSP00000512966	1	ortholog_one2one
ENSMUSG00000059898	ENSMUSG00000059898.10	Dsc3	ENSG00000134762	DSC3	ENSP00000353608	1	ortholog_one2one
ENSMUSG00000052713	ENSMUSG00000052713.10	Zfp608	ENSG00000168916	ZNF608	ENSP00000421899	1	ortholog_one2one
ENSMUSG00000001700	ENSMUSG00000001700.11	Gramd2b	ENSG00000155324	GRAMD2B	ENSP00000285689	1	ortholog_one2one
ENSMUSG00000024331	ENSMUSG00000024331.12	Dsc2	ENSG00000134755	DSC2	ENSP00000280904	1	ortholog_one2one
ENSMUSG00000044322	ENSMUSG00000044322.8	Dsc1	ENSG00000134765	DSC1	ENSP00000257198	1	ortholog_one2one
ENSMUSG00000053644	ENSMUSG00000053644.14	Aldh7a1	ENSG00000164904	ALDH7A1	ENSP00000387123	1	ortholog_one2one
